product_id,product_name,category,unit_cost,list_price
P001,Laptop Standard,Electronics,219.06,455.53
P002,Laptop Pro,Electronics,384.51,603.39
P003,Monitor Standard,Electronics,246.6,452.27
P004,Monitor Pro,Electronics,535.67,986.74
P005,Keyboard Standard,Electronics,589.6,1038.27
P006,Keyboard Pro,Electronics,658.2,959.76
P007,Headphones Standard,Electronics,328.84,545.77
P008,Headphones Pro,Electronics,608.65,999.67
P009,Webcam Standard,Electronics,462.24,739.26
P010,Webcam Pro,Electronics,480.09,1001.92
P011,Desk Standard,Furniture,45.05,98.09
P012,Desk Pro,Furniture,429.49,896.58
P013,Office Chair Standard,Furniture,150.32,257.23
P014,Office Chair Pro,Furniture,209.75,386.46
P015,Bookshelf Standard,Furniture,535.17,857.48
P016,Bookshelf Pro,Furniture,306.63,513.76
P017,Filing Cabinet Standard,Furniture,450.04,670.34
P018,Filing Cabinet Pro,Furniture,401.72,610.13
P019,Printer Paper Standard,Office Supplies,17.65,25.78
P020,Printer Paper Pro,Office Supplies,8.31,13.35
P021,Stapler Standard,Office Supplies,6.2,11.04
P022,Stapler Pro,Office Supplies,6.35,11.74
P023,Notebook Standard,Office Supplies,21.29,39.29
P024,Notebook Pro,Office Supplies,22.22,36.36
P025,Pen Set Standard,Office Supplies,2.72,5.24
P026,Pen Set Pro,Office Supplies,26.68,38.82
P027,Binder Standard,Office Supplies,15.84,33.5
P028,Binder Pro,Office Supplies,6.62,10.85
P029,Antivirus Standard,Software,270.23,584.1
P030,Antivirus Pro,Software,162.75,233.43
P031,Office Suite Standard,Software,242.05,482.84
P032,Office Suite Pro,Software,298.04,506.4
P033,Design Tool Standard,Software,243.35,372.51
P034,Design Tool Pro,Software,114.66,178.15
P035,CRM License Standard,Software,289.76,483.75
P036,CRM License Pro,Software,140.94,202.5
