order_id,order_date,customer_id,product_id,quantity,unit_price,discount,revenue,shipping_cost,status
O01225,2024-01-01,C0007,P025,1,5.24,0.0,5.24,$10.21,Delivered
O01696,2024-01-01,C0149,P020,5,13.35,0.1,60.08,$35.03,Delivered
O01855,2024-01-01,C0186,P016,3,513.76,0.1,1387.15,$15.07,Delivered
O00618,2024-01-02,C0097,P035,4,483.75,0.2,1548.0,$11.68,Delivered
O00716,2024-01-02,C0072,P009,1,739.26,,739.26,$22.80,Delivered
O01285,2024-01-02,C0162,P005,10,1038.27,0.1,9344.43,$28.06,Delivered
O01699,2024-01-02,C0189,P019,1,25.78,0.05,24.49,$22.14,Delivered
O01863,2024-01-02,C0045,P026,3,38.82,0.0,116.46,$37.38,Delivered
O01985,2024-01-02,C0168,P026,3,38.82,0.1,104.81,$31.32,Delivered
O00587,2024-01-03,C0153,P035,3,483.75,0.0,1451.25,$22.52,Shipped
O01540,2024-01-03,C0152,P017,1,670.34,,670.34,$21.83,Delivered
O00778,2024-01-06,C0200,P016,2,513.76,0.0,1027.52,$8.06,Delivered
O00927,2024-01-06,C0147,P020,3,13.35,,40.05,$38.21,Shipped
O01361,2024-01-06,C0169,P012,3,896.58,0.1,2420.77,$9.31,Delivered
O02186,2024-01-06,C0085,P003,10,452.27,0.05,4296.56,$31.15,Delivered
O01131,2024-01-07,C0174,P035,2,483.75,0.0,967.5,$14.62,Delivered
O00028,2024-01-08,C0135,P006,1,959.76,0.1,863.78,$34.58,Delivered
O01780,2024-01-08,C0174,P026,5,38.82,0.0,194.1,$44.71,Delivered
O00686,2024-01-11,C0187,P005,2,1038.27,0.0,2076.54,$19.76,Delivered
O00807,2024-01-11,C0112,P013,3,257.23,0.05,733.11,$15.78,Delivered
O01872,2024-01-12,C0178,P020,1,13.35,0.2,10.68,$16.42,Delivered
O00397,2024-01-13,C0144,P031,3,482.84,0.1,1303.67,$39.98,Delivered
O02330,2024-01-14,C0143,P033,1,372.51,0.15,316.63,$35.97,Delivered
O00436,2024-01-15,C0197,P014,5,386.46,0.1,1739.07,$26.28,Cancelled
O00950,2024-01-16,C0088,P014,2,386.46,0.15,656.98,$4.65,Delivered
O00540,2024-01-17,C0011,P005,4,1038.27,0.0,4153.08,$42.73,Cancelled
O00666,2024-01-18,C0040,P032,3,506.4,0.2,1215.36,$35.59,Delivered
O00788,2024-01-18,C0153,P026,1,38.82,0.2,31.06,$33.73,Delivered
O01192,2024-01-18,C0015,P035,3,483.75,0.0,1451.25,$4.87,Delivered
O01530,2024-01-19,C0089,P032,3,506.4,0.0,1519.2,$13.09,Delivered
O02362,2024-01-19,C0043,P004,1,986.74,0.1,888.07,$13.38,Delivered
O02146,2024-01-20,C0145,P028,1,10.85,0.0,10.85,$20.66,Delivered
O01841,2024-01-21,C0149,P024,1,36.36,0.0,36.36,$25.99,Returned
O00457,2024-01-22,C0012,P034,2,178.15,0.2,285.04,$18.37,Shipped
O02291,2024-01-23,C0091,P005,3,1038.27,,3114.81,$4.78,Delivered
O02304,2024-01-23,C0036,P002,1,603.39,0.0,603.39,$25.14,Shipped
O02357,2024-01-23,C0026,P006,2,959.76,0.1,1727.57,$25.87,Delivered
O00586,2024-01-24,C0189,P025,3,5.24,0.2,12.58,$29.07,Delivered
O00757,2024-01-24,C0075,P036,1,202.5,0.1,182.25,$24.26,Delivered
O00775,2024-01-24,C0152,P004,1,986.74,0.1,888.07,$31.37,Delivered
O00253,2024-01-25,C0089,P034,1,178.15,0.15,151.43,$9.20,Delivered
O02339,2024-01-25,C0179,P036,1,202.5,0.1,182.25,$32.24,Shipped
O00949,2024-01-26,C0082,P022,3,11.74,0.1,31.7,$14.08,Cancelled
O01056,2024-01-26,C0022,P020,2,13.35,0.0,26.7,$26.67,Delivered
O01801,2024-01-26,C0016,P005,1,1038.27,0.2,830.62,$7.28,Delivered
O00715,2024-01-27,C0118,P013,1,257.23,0.0,257.23,$5.32,Delivered
O02249,2024-01-30,C0195,P036,3,202.5,,607.5,$25.26,Delivered
O00514,2024-01-31,C0069,P027,1,33.5,0.0,33.5,$11.48,Delivered
O02254,2024-02-01,C0042,P014,4,386.46,0.0,1545.84,$4.94,Delivered
O02179,2024-02-02,C0061,P026,4,38.82,0.0,155.28,$18.97,Delivered
O00790,2024-02-03,C0104,P032,2,506.4,0.0,1012.8,$35.49,Delivered
O01936,2024-02-03,C0182,P011,1,98.09,0.0,98.09,$14.27,Delivered
O02030,2024-02-04,C0026,P026,3,38.82,0.0,116.46,$16.79,Shipped
O00197,2024-02-05,C0123,P026,4,38.82,0.2,124.22,$26.29,Delivered
O00554,2024-02-05,C0198,P015,3,857.48,0.0,2572.44,$29.99,Delivered
O01281,2024-02-05,C0142,P019,2,25.78,0.2,41.25,$41.82,Delivered
O01404,2024-02-05,C0068,P012,2,896.58,0.0,1793.16,$22.04,Delivered
O02294,2024-02-06,C0065,P003,1,452.27,0.1,407.04,$28.01,Delivered
O02316,2024-02-07,C0012,P023,1,39.29,0.0,39.29,$14.60,Delivered
O00038,2024-02-08,C0064,P029,10,584.1,0.0,5841.0,$18.92,Returned
O00179,2024-02-08,C0014,P007,1,545.77,0.2,436.62,$43.73,Delivered
O02153,2024-02-09,C0132,P028,1,10.85,0.0,10.85,$8.79,Cancelled
O02158,2024-02-09,C0164,P018,1,610.13,,610.13,$22.07,Delivered
O02081,2024-02-10,C0046,P003,1,452.27,0.05,429.66,$32.65,Delivered
O01974,2024-02-11,C0122,P002,1,603.39,0.15,512.88,$8.85,Delivered
O01700,2024-02-12,C0141,P010,3,1001.92,0.1,2705.18,$5.08,Delivered
O01966,2024-02-12,C0021,P030,4,233.43,0.15,793.66,$29.29,Cancelled
O02276,2024-02-12,C0176,P001,1,455.53,0.1,409.98,$5.33,Delivered
O01153,2024-02-13,C0084,P026,4,38.82,0.2,124.22,$9.39,Returned
